index,category,brand,title,age,classification,content,nutrient,info,gram,calory,ingredient,detail,from_company,성분등록번호,img
10,고양이,지위픽 (ZIWI),주식캔 양고기,"키튼,어덜트,시니어,전연령",습식사료,"양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈, 병아리콩, 뉴질랜드 녹색홍합, DL-메티오닌, 건 켈프, 미네랄(황산마그네슘, 아연아미노산, 망간아미노산, 구리아미노산), 비타민(비타민 E, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), 타우린",조단백 11%  조지방 8%  칼슘 0.5%  인 0.38%  수분 74.5%,"검류미함유,그레인프리,글루텐프리","85g, 185g","1,325 kcal/kg","양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 85g, 185g 주재료 양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,325 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 Ⅱ 60G0489호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF19_thumb01.png
11,개,펫츠그린 (PETSGREEN),ALL 마이그린 명태 동결건조 트릿,"퍼피,키튼,어덜트,시니어,전연령",동결건조 간식,"명태살, 매생이, 밀싹, 완두콩",조단백 75%  조지방 2.0%  조섬유 2.0%  조회분 9.0%  수분 2.0% ,"그레인프리,글루텐프리",35g,"5,800 kcal/kg","명태살, 매생이, 밀싹","연령구분 퍼피,키튼,어덜트,시니어,전연령 푸드타입 동결건조 간식 중량 35g 주재료 명태살, 매생이, 밀싹 식단정보 그레인프리,글루텐프리 칼로리 5,800 kcal/kg 원산지/제조사 대한민국/스윗그린",대한민국/스윗그린,제 II6TM00010호,https://cdn.purplesto.re/media/store/sale/main_image/petsgreen_all_B066AT04_thumb01_u67fvoo.png
12,개,보레알 (BOREAL),오리지널 그레인프리 연어,"퍼피,어덜트,시니어,전연령",건사료,"연어, 연어밀, 완두콩, 완두콩 전분, 카놀라유(혼합 토코페롤 함유), 흰강낭콩, 건조 알팔파밀, 천연연어향, 소금, 비타민 E 보충제, 콜린 염화물, DL-메티오닌, 타우린, 아연 아미노산 복합물 , 철 아미노산 복합물, 망간 아미노산 복합물, 레시틴, 효모 추출물, 치커리 뿌리 추출물, 사과, 당근, 크랜베리, 시금치, 탄산칼슘, 황산 아연, 철 황산염, 블루베리, 크랜베리, 녹차 추출물, 황산 구리, 황산 망간, 니아신, 판토텐산 칼슘, 비타민 A 보충제, 리보플라빈, 비타민 B12 보충제, 티아민, 나트륨셀레나이트, 칼슘요오드산염, 피리독신히드로 클로라이드, 비타민 D3 보충제, 엽산",조단백 28%  조지방 14%  칼슘 1.5%  인 1%  수분 10%,"그레인프리,글루텐프리","11.3kg, 4kg","3,635 kcal/kg","연어, 연어밀, 완두콩","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 건사료 중량 11.3kg, 4kg 주재료 연어, 연어밀, 완두콩 식단정보 그레인프리,글루텐프리 칼로리 3,635 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,,https://cdn.purplesto.re/media/store/sale/main_image/boreal_dog_B050DF15_thumb01.png
13,개,지위픽 (ZIWI),주식캔 사슴고기,"퍼피,어덜트,시니어,전연령",습식 사료,"사슴고기, 도축부산물(사슴 위장, 간, 폐, 심장, 신장 및 뼈), 이집트콩, 뉴질랜드 녹색홍합, 레시틴, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 셀레늄효모, 망간아미노산), 다시마, 천일염, 비타민합제(비타민 E, 비타민 B1, 비타민 B5, 비타민 D3, 엽산)",조단백 13%  조지방 6%  칼슘 0.48%  인 0.33%  수분 76%,"검류미함유,그레인프리,글루텐프리",170g,"1,200 kcal/kg","사슴고기, 도축부산물(사슴 위장, 간, 폐, 심장, 신장 및 뼈), 이집트콩","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 습식 사료 중량 170g 주재료 사슴고기, 도축부산물(사슴 위장, 간, 폐, 심장, 신장 및 뼈), 이집트콩 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,200 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 서울-15608호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_dog_B046DF10_thumb01.png
14,개,지위픽 (ZIWI),주식캔 고등어&양고기,"퍼피,어덜트,시니어,전연령",습식 사료,"고등어, 양고기, 도축부산물(양 폐, 위장, 심장, 신장, 간 및 뼈), 이집트콩, 뉴질랜드 녹색홍합, 레시틴, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 셀레늄효모, 망간아미노산), 다시마, 천일염, 비타민합제(비타민 E, 비타민 B1, 비타민 B5, 비타민 D3, 엽산)",조단백 14%  조지방 6%  칼슘 0.44%  인 0.35%  수분 75.5%,"검류미함유,그레인프리,글루텐프리",390g,"1,000 kcal/kg","고등어, 양고기, 도축부산물(양 폐, 위장, 심장, 신장, 간 및 뼈)","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 습식 사료 중량 390g 주재료 고등어, 양고기, 도축부산물(양 폐, 위장, 심장, 신장, 간 및 뼈) 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,000 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 서울-15608호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_dog_B046DF11_thumb01.png
15,개,오픈팜 (OPENFARM),흰살생선,"퍼피,어덜트,시니어,전연령",건사료,"흰살생선, 병아리콩, 흰살생선분말, 완두, 렌즈콩, 청어분말, 코코넛오일(혼합토코페롤 보존), 토마토, 천연향료(건조흰살생선), 아마씨, 해바리기유, 크랜베리, 호박, 당근, 사과식초, 자연건조알파파, 치커리뿌리, 연어오일, 소금, 염화칼륨, 혼합토코페롤 (천연보존제), 비타민E, 판토텐산칼슘, 나이아신, 비타민A, 비타민B2, 비타민D3, 비타민B12, 비타민B1질산염, 엽산, 염화콜린, 아연단백질화합물, 탄산칼슘, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 건조효모(셀레늄), 요오드산칼슘, 로즈마리, 타우린, 계피, 강황, 사과",조단백 33.0%  조지방 16.0%  칼슘 1.46%  인 1.01%  수분 9%,"그레인프리,글루텐프리",10.8kg,"3,575 kcal/kg","흰살생선, 병아리콩, 흰살생선분말","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 건사료 중량 10.8kg 주재료 흰살생선, 병아리콩, 흰살생선분말 식단정보 그레인프리,글루텐프리 칼로리 3,575 kcal/kg 원산지/제조사 미국/Open Farm Inc.",미국/Open Farm Inc.,CCC020024호,https://cdn.purplesto.re/media/store/sale/main_image/openfarm_dog_B123DF03_thumb02.png
16,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식캔 퓨레 no.109 돼지고기,"어덜트,시니어",습식사료,"돼지고기, 육수, 미네랄(아연, 망간, 요오드), 포도씨오일",조단백 8.3%  조지방 3.9%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,그레인프리,글루텐프리,비유전자변형",400g,973 kcal/kg,"돼지고기, 육수, 미네랄(아연, 망간, 요오드)","연령구분 어덜트,시니어 푸드타입 습식사료 중량 400g 주재료 돼지고기, 육수, 미네랄(아연, 망간, 요오드) 식단정보 검류미함유,그레인프리,글루텐프리,비유전자변형 칼로리 973 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,GGHA50025호,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF21_thumb01.png
17,개,고! (GO!),그레인프리 LID 폴록,"어덜트,시니어",건사료,"볼락, 타피오카, 렌틸콩, 병아리콩, 카놀라오일, 코코넛오일, 천연착향료, 제2인산칼슘, 염화나트륨, 염화칼륨, 탄산칼륨, 건조치커리뿌리, 염화콜린, 비타민합제(비타민A, 비타민D3, 비타민E, 나이아아신, 이노시톨, L-아스크로빌-2-폴리포스페이트(비타민C의 공급), 질산티아민, d-판토 텐산 칼륨, 리보플라빈, 염산피리독신, 베타카로틴, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연, 철, 구리, 마그 네슘, 황산구리, 요오드산칼슘, 황산제일철, 산화망간, 셀레늄효모), DL-메티오닌, L-리진, 건조로즈마리",조단백 24.0%  조지방 12.0%  칼슘 1.2%  인 0.9%  수분 10.0%,"단일육류단백질,그레인프리,글루텐프리",2.7kg,"4,022 kcal/kg ","볼락, 타피오카, 렌틸콩","연령구분 어덜트,시니어 푸드타입 건사료 중량 2.7kg 주재료 볼락, 타피오카, 렌틸콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,022 kcal/kg  원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-19594호,https://cdn.purplesto.re/media/store/sale/main_image/go_dog_B010DF08_thumb01.png
18,개,고! (GO!),그레인프리 LID 오리,"어덜트,시니어",건사료,"뼈를 발라낸 오리, 오리분말, 완두콩, 렌틸콩, 타피오카, 완두분말, 카놀라오일, 병아리콩, 천연향, 코코넛오일, 제일인산칼슘, 연어오일, 염화나트륨, 탄산칼슘, 염화칼륨, 건조 치커리뿌리, 염화콜린, 비타민합제(비타민A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, d-판토텐산칼슘, 티아민 모노니트레이트, 베타카로틴, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12), 미량광물질류합제 (아연 단백질화합물, 철단백질화합물, 구리단백질화합물, 산화아연, 망간단백질화합물, 황산동, 황산제일철, 요오드산칼슘, 산화망간, 셀레늄이스트), 타우린, 건조 로즈마리",조단백 24%  조지방 12%  칼슘 1%  인 0.8%  수분 10%,"단일육류단백질,그레인프리,글루텐프리",2.7kg,"3,991 kcal/kg","뼈를 발라낸 오리, 오리분말, 완두콩","연령구분 어덜트,시니어 푸드타입 건사료 중량 2.7kg 주재료 뼈를 발라낸 오리, 오리분말, 완두콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 3,991 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-19594호,https://cdn.purplesto.re/media/store/sale/main_image/go_dog_B010DF06_thumb01_QzXlqIq.png
19,개,빅스비 (BIXBI),러블 건사료 돼지,"퍼피,어덜트,시니어,전연령",건사료,"돼지고기, 완두, 렌즈콩, 돼지기름(혼합토코페롤함유), 계란, 코코넛, 천연향(돼지고기향), 탄산칼슘, 제이인산칼슘, 코코넛오일, 호박, 연어오일, 민들레, 라즈베리, 염화칼륨, 염화콜린, 미네랄류 (아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 셀렌산나트륨, 요오드산칼슘), 비타민류 (비타민E, 나이아신, 판톤텐산 칼슘, 리보플라빈, 비타민A, 치아민질산염(비타민B1), 피리독신염산염(비타민B6, 비타민B12, 엽산, 비타민D3), 혼합토코페롤, 로즈마리추출물, 소금",조단백 30%  조지방 17%  칼슘 1.38%  인 0.92%  수분 12%,"단일육류단백질,그레인프리,글루텐프리",85g,"3,768 kcal/kg","돼지고기, 완두, 렌즈콩","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 건사료 중량 85g 주재료 돼지고기, 완두, 렌즈콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 3,768 kcal/kg 원산지/제조사 미국/BIXBIPET",미국/BIXBIPET,제 II6TM0009호,https://cdn.purplesto.re/media/store/sale/main_image/bixbi_dog_B111DF10_thumb02.png
20,개,파미나 (FARMINA),"그레인프리 대구, 단호박과 오렌지","어덜트,시니어",건사료,"얼리지 않은 대구(24%), 수분을 제거한 대구(24%), 완두콩 전분, 청어 오일, 수분을 제거한 단호박(5%), 완두콩 섬유소, 건조 당근, 건조 알팔파, 이눌린, 프락토올리고당, 이스트 추출물(만난올리고당의 원료), 건조 스위트 오렌지(0.5%), 건조 사과, 건조 석류, 건조 시금치, 차전자피(0.3%), 건조 블루베리, 소금, 건조 맥주효모, 강황(0.2%), 정제하고 가수분해한 초록입홍합(글루코사민 (1200mg/kg 이상)과 콘드로이틴 황산(900mg/kg 이상)의 원료), 비타민 A, 비타민 D3, 비타민 E, 아스코르브산(수용성 비타민 C), 나이아신(수용성 비타민 B3), 판토텐산 칼슘(수용성 비타민 B5), 리보플라빈(수용성 비타민 B2), 피리독신 염산염(수용성 비타민 B6), 티아민(수용성 비타민 B1), 비오틴(수용성 비타민 H), 엽산(수용성 비타민 B9), 비타민 B12, 염화콜린, 베타카로틴, 아연 아미노산(메티오닌) 킬레이트, 망간 아미노산(메티오닌) 킬레이트, 철분 아미노산(글리신), 구리 아미노산(메티오닌) 킬레이트, 셀레늄 함유 건조효모, DL- 메티오닌, 타우린(1000mg/kg 이상), L- 카르니틴, 알로에 베라겔, 녹차 추출물, 로즈마리 추출물, 혼합토코페롤(천연 항산화제)",조단백 30%  조지방 18%  칼슘 0.8%  인 0.7%  수분 9%,"그레인프리,글루텐프리,비유전자변형",7kg,"4,340 kcal/kg","얼리지 않은 대구, 수분을 제거한 대구, 완두콩 전분","연령구분 어덜트,시니어 푸드타입 건사료 중량 7kg 주재료 얼리지 않은 대구, 수분을 제거한 대구, 완두콩 전분 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 4,340 kcal/kg 원산지/제조사 이탈리아/RUSSO MANGIMI S.p.A",이탈리아/RUSSO MANGIMI S.p.A,제 KKGB10021호,https://cdn.purplesto.re/media/store/sale/main_image/farmina_dog_B039DF07_thumb01.png
21,고양이,알모네이쳐 (ALMO NATURE),HFC 내츄럴 캔 닭고기와 호박,"키튼,어덜트,시니어,전연령",습식간식,"닭고기살(70%), 정제수(24%), 호박(5%), 쌀(1%)",조단백 13.0%  조지방 0.3%  조섬유 0.5%  조회분 1.0%  수분 81.0% ,"단일육류단백질,글루텐프리,비유전자변형",70g,785 kcal/kg (55 kcal/캔),"닭고기살, 정제수, 호박","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 닭고기살, 정제수, 호박 식단정보 단일육류단백질,글루텐프리,비유전자변형 칼로리 785 kcal/kg (55 kcal/캔) 원산지/제조사 태국/HI-Q FOOD PRODUCTS CO.LTD",태국/HI-Q FOOD PRODUCTS CO.LTD,서울-19782호,https://cdn.purplesto.re/media/store/sale/main_image/almonature_cat_B131CT08_thumb01.png
22,고양이,어플라우즈 (APPLAWS),통살 참치와 가다랑어 육수,"키튼,어덜트,시니어,전연령",습식간식,"가다랑어(참치), 가다랑어육수, 파슬리",조단백 23.0% 조지방 5.0% 조회분 3.0% 수분 73.0%,검류미함유,-,"1,310 kcal/kg (39.3 kcal/파우치)","가다랑어(참치), 가다랑어 육수, 파슬리","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 - 주재료 가다랑어(참치), 가다랑어 육수, 파슬리 식단정보 검류미함유 칼로리 1,310 kcal/kg (39.3 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-22071호,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT11_thumb01.png
23,개,보레알 (BOREAL),바이탈 치킨,"퍼피,어덜트,시니어,전연령",건사료,"치킨, 완두콩, 흰강낭콩, 치킨지방, 렌즈콩, 콩단백질, 건조효모, 완두콩, 아마씨, 천연향, 염화칼륨, 타우린, DL-메티오닌, 사과, 당근, 소금, 비타민E, 구리황산염, 엽산, 비타민B12, 비타민A, 젖산, 구연산, 니아신, 아연아미노산복합체, 망간아미노산복합체, 철아미노산복합체, 칼슘판토텐산, 셀레늄효모, 리보플라빈, 비오틴, 비타민D3, 요오드산칼슘.",조단백 27%  조지방 15%  칼슘 1.4%  인 1.04%  수분 10%,"단일육류단백질,그레인프리,글루텐프리",2.2kg,"3,420 kcal/kg","치킨, 완두콩, 흰강낭콩","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 건사료 중량 2.2kg 주재료 치킨, 완두콩, 흰강낭콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 3,420 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,,https://cdn.purplesto.re/media/store/sale/main_image/boreal_dog_B050DF17_thumb01.png
